feature,importance
BRL_ma_200,0.10410941731966375
MXN_downside_vol,0.055872396087455485
MXN_ma_50,0.046404928719543256
MXN_dxy_beta,0.04071586023154981
BRL_vol_21d,0.028144702444593852
BRL_vol_126d,0.02688846491575411
BRL_mom_3m_vol_adj,0.02589241817548874
CAD_downside_vol,0.023320155386502485
BRL_mom_x_vix,0.02253881862159651
BRL_vol_63d,0.01915219928111256
EUR_mom_1m_vol_adj,0.016832544913288304
BRL_mom_12m_vol_adj,0.016663933813552585
AUD_ma_20,0.01474008812314102
CHF_ma_200,0.012706226050325887
JPY_ma_50,0.011021658792256224
EUR_dxy_beta,0.011014092173316352
BRL_mom_12m,0.010016740695263777
BRL_downside_vol,0.009920299409947693
BRL_carry_x_mom,0.009872290596790166
BRL_mom_1m_vol_adj,0.009847740307952026
GBP_vol_126d,0.009767530178807994
BRL_ma_20,0.0091295295364738
GBP_mom_6m_vol_adj,0.008968917110069688
BRL_mom_1m,0.008841729859674291
CHF_carry_zscore,0.008648052916121123
CHF_carry_x_vol,0.008325683403281426
CAD_dxy_beta,0.007836697654156661
EUR_downside_vol,0.007598346726274012
MXN_ma_200,0.007126057705056568
JPY_ma_200,0.007000244030458792
GBP_vol_ratio,0.006956935269809007
vix,0.006928949869597896
CAD_mom_3m,0.006573701318534108
BRL_mom_6m,0.006260219000918129
CAD_ma_50,0.00621971032032348
CAD_ma_200,0.006167398098857266
CHF_mom_6m_vol_adj,0.006083696054681255
BRL_price_vs_ma200,0.005978541915358754
CHF_downside_vol,0.0058001063260029306
BRL_dxy_beta,0.0056010642509028916
CHF_dxy_beta,0.005458861439898516
EUR_ma_50,0.005376095575325645
GBP_mom_12m_vol_adj,0.005137620992782481
CHF_ma_50,0.005027488640987532
CAD_ma_20,0.004946409265981409
GBP_mom_x_vix,0.00482537153762395
GBP_vol_63d,0.004812435927924765
CHF_mom_3m_vol_adj,0.004741112886341255
BRL_mom_3m,0.00428175418625043
EUR_ma_200,0.004164728279207302
CAD_vol_ratio,0.004120235589119538
CAD_carry_x_vol,0.004089484845313636
CHF_carry_rank,0.0040079023202863676
CHF_vol_ratio,0.003986842604585105
GBP_ma_50,0.003967195872774328
JPY_vol_63d,0.003856956635447905
AUD_vol_21d,0.0037546905056348827
GBP_vol_of_vol,0.0036745763608954252
AUD_mom_12m,0.0035212680143345988
GBP_mom_12m,0.0034610600053970515
GBP_vol_21d,0.003431131602953436
MXN_mom_12m_vol_adj,0.0032837813932756073
GBP_downside_vol,0.003227067035604382
JPY_ma_20,0.003211559434652226
JPY_mom_3m_vol_adj,0.003168215656282778
CAD_vol_126d,0.0031261495350470687
credit_spread,0.0031069300264560044
EUR_carry_rank,0.003099728186385917
MXN_carry_x_mom,0.002968104758414123
MXN_vol_ratio,0.002964944885030865
CHF_rate_diff,0.0029103253564715407
CHF_vol_126d,0.002789730707020861
EUR_mom_1m,0.0027893058168602046
BRL_carry_x_vol,0.002733155117948152
CHF_mom_3m,0.0027033192367553484
MXN_mom_x_vix,0.002693876910939575
JPY_vol_of_vol,0.002679052693975465
equity_vol_21d,0.0026147886883739696
MXN_vol_21d,0.002554158710601323
JPY_dxy_beta,0.0025297768464956393
MXN_vol_of_vol,0.002499387146283481
EUR_mom_12m_vol_adj,0.0024882585300984774
EUR_mom_6m,0.0024837037090652803
AUD_vol_of_vol,0.0024828314089010706
GBP_ma_200,0.0024187641038778238
GBP_mom_1m,0.002383320905883567
dxy_ret_6m,0.0023704233479417565
MXN_rsi,0.002324124928887584
MXN_price_vs_ma200,0.0023229805420498096
JPY_carry_zscore,0.0023030771396076667
AUD_carry_zscore,0.0022559746013642366
GBP_carry_x_mom,0.0022431563158413635
MXN_vol_126d,0.0022208738556013822
EUR_vol_126d,0.0022130324765418036
EUR_carry_x_vol,0.002200314487306311
CAD_vol_21d,0.002164454382141719
MXN_carry_x_vol,0.0021620342666001345
GBP_dxy_beta,0.002149780849359954
CAD_mom_3m_vol_adj,0.0021409992134028555
EUR_vol_63d,0.002130563389158134
JPY_mom_3m,0.002118454315950421
CAD_vol_of_vol,0.002093839904475174
MXN_carry_zscore,0.002093370698178287
AUD_carry_x_mom,0.002074456236505496
JPY_vol_21d,0.002071917007333471
AUD_dxy_beta,0.0020645934255188875
BRL_ma_cross,0.0020355456463633636
MXN_mom_3m_vol_adj,0.00199735014353076
BRL_vol_ratio,0.00195945718182579
JPY_vol_ratio,0.0019306010233471837
AUD_mom_3m,0.0019233983384537867
MXN_ma_20,0.0018587774478580038
GBP_rsi,0.0018578523769446772
BRL_mom_12_1,0.0018453059951578784
CHF_mom_12_1,0.0018359566614403007
AUD_mom_1m_vol_adj,0.0017652397247398797
CHF_mom_1m,0.0017615858694261144
EUR_mom_6m_vol_adj,0.0017456682176725494
CHF_vol_21d,0.0017432225803622468
AUD_carry_rank,0.0017418610861279114
MXN_mom_1m_vol_adj,0.0017138081086996602
CHF_mom_6m,0.0016820037555536856
AUD_mom_12_1,0.001681462647874952
BRL_rsi,0.0016810900273772017
CAD_carry_x_mom,0.0016662620957170141
dxy_mom_zscore,0.0016554509751945292
BRL_mom_6m_vol_adj,0.0016547289803289346
JPY_downside_vol,0.0016021294462112198
CHF_vol_of_vol,0.0015861379847766158
MXN_mom_3m,0.0015811755429732293
EUR_carry_zscore,0.0015736581422188987
BRL_vol_of_vol,0.0015645074619016642
CHF_price_vs_ma200,0.0015446699866891107
AUD_mom_1m,0.0015405116726733418
GBP_mom_3m,0.0015016536322689175
AUD_price_vs_ma200,0.0014895493520132629
