DAY_DATE,DIRECTION,SPX_TR,,
9/21/00,FWD,-0.0002,,
9/22/00,FWD,-0.0067,,
9/25/00,FWD,-0.0082,,
9/26/00,FWD,-0.0003,,
9/27/00,FWD,0.0222,,
9/28/00,FWD,-0.0148,,
9/29/00,FWD,-0.0002,,
10/2/00,FWD,-0.0068,,
10/3/00,FWD,0.0056,,
10/4/00,FWD,0.0015,,
10/5/00,FWD,-0.019,,
10/6/00,FWD,-0.0049,,
10/9/00,FWD,-0.0107,,
10/10/00,FWD,-0.0161,,
10/11/00,FWD,-0.0255,,
10/12/00,FWD,0.0334,,
10/13/00,FWD,0.0003,,
10/16/00,FWD,-0.0179,,
10/17/00,FWD,-0.0057,,
10/18/00,FWD,0.0347,,
10/19/00,FWD,0.0059,,
10/20/00,FWD,-0.0008,,
10/23/00,FWD,0.0017,,
10/24/00,FWD,-0.0237,,
10/25/00,FWD,-0.0003,,
10/26/00,FWD,0.0112,,
10/27/00,FWD,0.0139,,
10/30/00,FWD,0.022,,
10/31/00,FWD,-0.0056,,
11/1/00,FWD,0.0051,,
11/2/00,FWD,-0.0011,,
11/3/00,FWD,0.0039,,
11/6/00,FWD,-0.0002,,
11/7/00,FWD,-0.0157,,
11/8/00,FWD,-0.0063,,
11/9/00,FWD,-0.0244,,
11/10/00,FWD,-0.0107,,
11/13/00,FWD,0.0235,,
11/14/00,FWD,0.0051,,
11/15/00,FWD,-0.0126,,
11/16/00,FWD,-0.0033,,
11/17/00,FWD,-0.0183,,
11/20/00,FWD,0.0036,,
11/21/00,FWD,-0.0185,,
11/22/00,FWD,0.0147,,
11/24/00,FWD,0.0054,,
11/27/00,FWD,-0.0094,,
11/28/00,FWD,0.0046,,
11/29/00,FWD,-0.0201,,
11/30/00,FWD,0.0002,,
12/1/00,FWD,0.0074,,
12/4/00,FWD,0.0389,,
12/5/00,FWD,-0.018,,
12/6/00,FWD,-0.0058,,
12/7/00,FWD,0.0196,,
12/8/00,FWD,0.0075,,
12/11/00,FWD,-0.0065,,
12/12/00,FWD,-0.008,,
