DAY_DATE,AUD_EXCH_RATE,BRL_EXCH_RATE,CAD_EXCH_RATE,CHF_EXCH_RATE,EUR_EXCH_RATE,GBP_EXCH_RATE,JPY_EXCH_RATE,MXN_EXCH_RATE,USD_EXCH_RATE
4/16/00,1.674480911,1.763,1.4767,1.6408,1.0455,0.630517024,105.12,9.501,1
4/17/00,1.691188906,1.788,1.4855,1.644,1.0406,0.630795433,104.19,9.483,1
4/18/00,1.681802893,1.788,1.4837,1.6603,1.0517,0.634356762,104.59,9.437,1
4/19/00,1.678697331,1.7626,1.4761,1.6755,1.0537,0.633834062,104.94,9.391,1
4/20/00,1.686056314,1.776,1.4725,1.6772,1.0633,0.632871337,105.45,9.403,1
4/21/00,1.687763713,1.784,1.475,1.676,1.066,0.633512829,105.88,9.405,1
4/22/00,1.687763713,1.784,1.475,1.676,1.066,0.633512829,105.88,9.405,1
4/23/00,1.687763713,1.784,1.475,1.676,1.066,0.633512829,105.88,9.405,1
4/24/00,1.682085786,1.7882,1.4763,1.6712,1.0636,0.632911392,105.66,9.441,1
4/25/00,1.678979181,1.793,1.4699,1.6985,1.0667,0.633432571,105.71,9.405,1
4/26/00,1.697792869,1.789,1.4758,1.7085,1.0852,0.633111744,106.46,9.409,1
4/27/00,1.70212766,1.8037,1.4792,1.731,1.0852,0.63500127,106.36,9.454,1
4/28/00,1.71320884,1.8067,1.4818,1.725,1.1001,0.642673522,107.98,9.411,1
4/29/00,1.71320884,1.8067,1.4818,1.725,1.1001,0.642673522,107.98,9.411,1
4/30/00,1.71320884,1.8067,1.4818,1.725,1.1001,0.642673522,107.98,9.411,1
5/1/00,1.724137931,1.807,1.4783,1.7135,1.0959,0.642756138,108.89,9.335,1
5/2/00,1.707358716,1.807,1.4857,1.7185,1.0951,0.641436818,108.63,9.334,1
5/3/00,1.694915254,1.804,1.4923,1.7369,1.1099,0.64082025,109.14,9.368,1
5/4/00,1.690902942,1.8159,1.498,1.7353,1.1208,0.647878199,108.17,9.397,1
5/5/00,1.684919966,1.812,1.498,1.7323,1.1157,0.654107797,108.53,9.48,1
5/6/00,1.684919966,1.812,1.498,1.7323,1.1157,0.654107797,108.53,9.48,1
5/7/00,1.684919966,1.812,1.498,1.7323,1.1157,0.654107797,108.53,9.48,1
5/8/00,1.703577513,1.802,1.4927,1.7305,1.1099,0.653167864,109.03,9.483,1
5/9/00,1.715854496,1.808,1.4945,1.7219,1.1123,0.65295462,109.61,9.488,1
5/10/00,1.719690456,1.812,1.4955,1.715,1.0983,0.659935326,109.33,9.572,1
5/11/00,1.727115717,1.82,1.49,1.7252,1.1031,0.666800027,108.47,9.583,1
5/12/00,1.721170396,1.824,1.4872,1.709,1.1074,0.659108885,108.74,9.563,1
5/13/00,1.721170396,1.824,1.4872,1.709,1.1074,0.659108885,108.74,9.563,1
5/14/00,1.721170396,1.824,1.4872,1.709,1.1074,0.659108885,108.74,9.563,1
5/15/00,1.742463844,1.839,1.4897,1.7033,1.0917,0.663349917,109.48,9.576,1
5/16/00,1.732201628,1.843,1.4862,1.7152,1.101,0.666311301,109.75,9.508,1
5/17/00,1.759014952,1.82,1.4992,1.7398,1.1142,0.6709158,109.53,9.551,1
5/18/00,1.75346309,1.83,1.5007,1.7377,1.1173,0.674854906,108.7,9.582,1
5/19/00,1.745810056,1.835,1.4963,1.7347,1.1192,0.673174015,106.89,9.627,1
5/20/00,1.745810056,1.835,1.4963,1.7347,1.1192,0.673174015,106.89,9.627,1
5/21/00,1.745810056,1.835,1.4963,1.7347,1.1192,0.673174015,106.89,9.627,1
5/22/00,1.742160279,1.84,1.4983,1.7185,1.1099,0.670825787,107.02,9.573,1
5/23/00,1.740038281,1.852,1.5036,1.7295,1.0953,0.678978816,106.72,9.503,1
5/24/00,1.750393839,1.852,1.5085,1.7208,1.0977,0.677736361,107.58,9.54,1
5/25/00,1.754385965,1.848,1.5057,1.721,1.1072,0.680040802,107.48,9.509,1
5/26/00,1.749475157,1.848,1.5045,1.6828,1.0911,0.672268908,107.18,9.53,1
5/27/00,1.749475157,1.848,1.5045,1.6828,1.0911,0.672268908,107.18,9.53,1
5/28/00,1.749475157,1.848,1.5045,1.6828,1.0911,0.672268908,107.18,9.53,1
5/29/00,1.749475157,1.838,1.5045,1.6828,1.0761,0.672268908,107.18,9.53,1
5/30/00,1.73370319,1.838,1.5036,1.6885,1.0661,0.668896321,106.44,9.52,1
5/31/00,1.75192712,1.83,1.4977,1.6883,1.0715,0.668091929,107.74,9.511,1
6/1/00,1.747946163,1.825,1.491,1.6878,1.0699,0.670465974,108.74,9.49,1
6/2/00,1.727115717,1.821,1.4785,1.668,1.0672,0.663173951,108.15,9.558,1
6/3/00,1.727115717,1.821,1.4785,1.668,1.0672,0.663173951,108.15,9.558,1
6/4/00,1.727115717,1.821,1.4785,1.668,1.0672,0.663173951,108.15,9.558,1
6/5/00,1.720578114,1.803,1.4779,1.663,1.0576,0.660720185,107.44,9.547,1
6/6/00,1.69865806,1.792,1.478,1.643,1.0555,0.656383328,105.64,9.675,1
6/7/00,1.694915254,1.798,1.4785,1.6365,1.0444,0.65681445,105.5,9.784,1
6/8/00,1.701258932,1.802,1.48,1.641,1.0411,0.664010624,105.86,9.9,1
6/9/00,1.7053206,1.8029,1.4765,1.6443,1.046,0.663173951,106.78,9.933,1
6/10/00,1.7053206,1.8029,1.4765,1.6443,1.046,0.663173951,106.78,9.933,1
6/11/00,1.7053206,1.8029,1.4765,1.6443,1.046,0.663173951,106.78,9.933,1
6/12/00,1.691474966,1.804,1.4765,1.6356,1.0477,0.661375661,106.65,9.857,1
6/13/00,1.674200569,1.807,1.4697,1.6255,1.0428,0.660938533,106.79,9.788,1
6/14/00,1.664724488,1.8115,1.4695,1.6318,1.0381,0.665646009,106.89,9.788,1
6/15/00,1.662510391,1.811,1.4758,1.6386,1.0502,0.662120109,106.52,9.847,1
6/16/00,1.643925695,1.812,1.4708,1.6178,1.0438,0.659413122,106.22,9.924,1
6/17/00,1.643925695,1.812,1.4708,1.6178,1.0438,0.659413122,106.22,9.924,1
6/18/00,1.643925695,1.812,1.4708,1.6178,1.0438,0.659413122,106.22,9.924,1
6/19/00,1.66002656,1.805,1.4657,1.623,1.0363,0.659891778,105.74,9.909,1
6/20/00,1.65645188,1.804,1.4708,1.628,1.0449,0.662251656,105.42,9.879,1
6/21/00,1.659475606,1.801,1.4729,1.639,1.0433,0.668002672,105.5,9.815,1
6/22/00,1.668613382,1.8113,1.4725,1.6455,1.0629,0.661813369,104.4,9.879,1
6/23/00,1.676727029,1.814,1.4793,1.6565,1.0638,0.666222518,104.59,9.975,1
6/24/00,1.676727029,1.814,1.4793,1.6565,1.0638,0.666222518,104.59,9.975,1
6/25/00,1.676727029,1.814,1.4793,1.6565,1.0638,0.666222518,104.59,9.975,1
6/26/00,1.676445935,1.828,1.483,1.651,1.0695,0.667111408,105.66,10.023,1
6/27/00,1.663339987,1.8232,1.4825,1.6379,1.0621,0.666666667,105.53,10.087,1
6/28/00,1.660302175,1.823,1.4838,1.642,1.0608,0.661944794,105.51,9.969,1
6/29/00,1.658649859,1.821,1.482,1.6375,1.0526,0.658154535,105.09,9.888,1
6/30/00,1.674761347,1.811,1.4798,1.6317,1.0446,0.660938533,106.14,9.843,1
7/1/00,1.674761347,1.811,1.4798,1.6317,1.0446,0.660938533,106.14,9.843,1
7/2/00,1.674761347,1.811,1.4798,1.6317,1.0446,0.660938533,106.14,9.843,1
7/3/00,1.667778519,1.809,1.4793,1.6323,1.0504,0.660720185,105.64,9.553,1
7/4/00,1.667778519,1.8155,1.4793,1.6323,1.0545,0.660720185,105.64,9.553,1
7/5/00,1.692906721,1.81,1.4909,1.622,1.0471,0.661375661,106.91,9.515,1
7/6/00,1.692333728,1.804,1.485,1.625,1.0428,0.661375661,107.37,9.557,1
7/7/00,1.694628029,1.802,1.481,1.6278,1.0515,0.660371129,107.81,9.508,1
7/8/00,1.694628029,1.802,1.481,1.6278,1.0515,0.660371129,107.81,9.508,1
7/9/00,1.694628029,1.802,1.481,1.6278,1.0515,0.660371129,107.81,9.508,1
7/10/00,1.691474966,1.803,1.4798,1.6275,1.0499,0.660632886,107.1,9.5,1
7/11/00,1.697504668,1.795,1.4785,1.6335,1.0476,0.660501982,106.93,9.439,1
7/12/00,1.697792869,1.803,1.4815,1.651,1.051,0.663658083,108.36,9.482,1
7/13/00,1.70794193,1.8024,1.4809,1.6608,1.0655,0.667111408,108.27,9.438,1
7/14/00,1.710278775,1.812,1.4845,1.6532,1.0672,0.667111408,107.88,9.424,1
7/15/00,1.710278775,1.812,1.4845,1.6532,1.0672,0.667111408,107.88,9.424,1
7/16/00,1.710278775,1.812,1.4845,1.6532,1.0672,0.667111408,107.88,9.424,1
7/17/00,1.70794193,1.804,1.4813,1.6575,1.0644,0.670241287,108.53,9.342,1
7/18/00,1.711156742,1.7991,1.4783,1.6608,1.0672,0.669120107,108.3,9.339,1
7/19/00,1.739130435,1.797,1.4758,1.6781,1.0826,0.669254451,108.2,9.415,1
7/20/00,1.719394773,1.803,1.4748,1.668,1.0846,0.662514907,107.89,9.38,1
7/21/00,1.705029838,1.797,1.4715,1.6638,1.0681,0.659326169,109.08,9.343,1
7/22/00,1.705029838,1.797,1.4715,1.6638,1.0681,0.659326169,109.08,9.343,1
7/23/00,1.705029838,1.797,1.4715,1.6638,1.0681,0.659326169,109.08,9.343,1
