symbol,train_days,test_days,train_return,train_sharpe,train_dd,train_trades,test_return,test_sharpe,test_dd,test_trades,buy_hold,outperformance
USDCAD=X,2801,1242,1.6315007570096776e+121,0.22690311050726106,-1.0,79,1.2325930749121653e+26,0.47686227502842893,-0.9999999999999327,31,0.3424467048192328,1.2325930749121653e+26
USDJPY=X,2802,1242,2567181732415554.0,0.04920744873981199,-1.0,124,2.797161920786991e+68,0.4502319955778067,-1.0,72,0.6460180914854083,2.797161920786991e+68
EURUSD=X,2802,1242,-0.9999999999999992,0.008925019784975709,-1.0,108,39491104.30709268,0.09420933603207854,-1.0,58,-0.1974106040391329,39491104.50450329
GBPUSD=X,2802,1242,-0.9999999989955696,0.015411485115773336,-1.0,130,-0.19270501090936643,0.018562690442030395,-1.0,36,-0.18545825670746086,-0.00724675420190557
AUDUSD=X,2801,1242,-1.0,0.022790785804390153,-1.0,185,-0.9971029246086642,0.016228156112945993,-0.9999739713346079,93,-0.2783420287347613,-0.7187608958739029
USDCHF=X,2799,1242,-0.9999997151394364,0.036583756881307314,-1.0,143,-0.9999787680999961,-0.011451622057509485,-0.999999748339133,72,-0.22052426720129248,-0.7794545008987036
NZDUSD=X,2802,1242,-1.0,0.009507909189510578,-1.0,171,-1.0,-0.3232502858347109,-1.0,61,-0.22164699261852971,-0.7783530073814703
