strategy,symbol,return,sharpe,max_dd
Dual Momentum,EURUSD=X,-14.11285978739546,-0.1836236133762772,-24.18484771069025
Triple MA,EURUSD=X,1.6960884862682546,0.06413736848903105,-8.830725191716427
Mean Reversion,EURUSD=X,6.573027925516128,0.30882618252743765,-3.7653587266005317
Breakout,EURUSD=X,-3.4512160733258024,-0.06099338607278693,-15.438936432767248
Ensemble,EURUSD=X,-4.344748513819551,-0.12070421586318922,-11.085333819051012
Dual Momentum,GBPUSD=X,0.055828642510591386,0.03746220320445236,-15.20609104820898
Triple MA,GBPUSD=X,3.167472084634637,0.09472559074178949,-8.217604255550725
Mean Reversion,GBPUSD=X,12.769083432567975,0.48378456428661165,-4.22175448742359
Breakout,GBPUSD=X,-2.939336808991244,-0.03520136344008255,-16.06457979100908
Ensemble,GBPUSD=X,3.142128721184445,0.0987994338311466,-6.752296740048513
Dual Momentum,USDJPY=X,11.680901161625656,0.17076159870993385,-19.438585154555465
Triple MA,USDJPY=X,-4.863784008801875,-0.11316962479935457,-13.175145124117504
Mean Reversion,USDJPY=X,2.8743297486261588,0.12225436020741068,-6.69310206694399
Breakout,USDJPY=X,20.51819951085545,0.39711410850170226,-9.507469016811697
Ensemble,USDJPY=X,7.294601190705374,0.20038860228655325,-10.17104110812127
