Pair,Train_Return,Train_Sharpe,Test_Return,Test_Sharpe,Test_MaxDD,Test_WinRate,Test_Trades,BuyHold,Outperformance
USD/JPY,991.6941167106792,7.334809440511998,-32.45695706645271,-1.0014978388303946,-49.8042460770583,46.13526570048309,72,64.60180914854084,-97.05876621499354
USD/CAD,699.3274313696932,7.707702303878699,-0.15749853924818466,-0.01650611670149418,-14.551292908308067,50.40257648953301,31,34.24467048192328,-34.40216902117147
