Pair,Strategy,Sharpe,Sharpe_Delta,Total_Return,Max_DD,Win_Rate,Days
EUR,baseline,0.14984702747841247,0.0,0.05085868227927315,-0.21182014806287885,0.4921715452688904,1469
EUR,momentum,1.0402096968731867,0.8903626693947742,0.5017107500623297,-0.0980880506245686,0.4343090537780803,1469
EUR,value,-0.5966248665789463,-0.7464718940573588,-0.1731366979537995,-0.23696747406596652,0.25051055139550715,1469
EUR,dollar_risk,0.14984702747841247,0.0,0.05085868227927315,-0.21182014806287885,0.4921715452688904,1469
EUR,vix,0.15861299856591288,0.008765971087500407,0.051191001129464064,-0.17307555599878083,0.4921715452688904,1469
EUR,value_vix,-0.5522781022958037,-0.7021251297742162,-0.16370613235711906,-0.22544272337246993,0.25051055139550715,1469
EUR,all,-0.5522781022958037,-0.7021251297742162,-0.16370613235711906,-0.22544272337246993,0.25051055139550715,1469
CHF,baseline,0.49211074071247934,0.0,0.2336525871462174,-0.11365822231580436,0.4860449285228046,1469
CHF,momentum,0.9327144749666413,0.44060373425416194,0.46935073095674773,-0.07041580893873933,0.4424778761061947,1469
CHF,value,-0.7293489824591384,-1.2214597231716178,-0.22637544285457567,-0.27879420654208176,0.2498298162014976,1469
CHF,dollar_risk,0.49211074071247934,0.0,0.2336525871462174,-0.11365822231580436,0.4860449285228046,1469
CHF,vix,0.5224481800175951,0.030337439305115732,0.2280579715193609,-0.10553890915340763,0.4860449285228046,1469
CHF,value_vix,-0.7084287360397192,-1.2005394767521986,-0.21726229107413342,-0.2674540328957268,0.2498298162014976,1469
CHF,all,-0.7084287360397192,-1.2005394767521986,-0.21726229107413342,-0.2674540328957268,0.2498298162014976,1469
