Strategy,Pair,Sharpe,Return (%),MaxDD (%),Win Rate (%),Num Windows,Positive Windows
Mean Reversion,EURUSD=X,0.30015858592099964,9.629689815211083,-11.471709931279436,21.830209481808158,7,5
Mean Reversion,GBPUSD=X,0.4309069731333745,19.223906578974525,-7.710376359516808,23.7045203969129,7,7
Mean Reversion,USDJPY=X,-0.12876355903671502,-6.977264253068882,-21.796684378674705,23.098125689084895,7,2
Mean Reversion,AUDUSD=X,0.2078028340890268,8.934406570808552,-15.599385871001454,22.49173098125689,7,3
Mean Reversion,USDCAD=X,-0.053420074691267444,-2.400615251968974,-11.075055842533532,20.67254685777288,7,3
Mean Reversion,NZDUSD=X,-0.4109570708439058,-20.276754673883946,-26.664098771767346,23.042998897464166,7,3
Mean Reversion,USDCHF=X,-0.12948165776502027,-5.139370927611964,-11.521188743306542,20.61742006615215,7,3
Volatility Breakout,EURUSD=X,0.03747181711480383,0.225325876336524,-21.501900921190913,41.01433296582139,7,4
Volatility Breakout,GBPUSD=X,0.2861965838694622,15.65709075480739,-16.972414610926542,42.55788313120176,7,4
Volatility Breakout,USDJPY=X,0.6388999559204472,40.638543141952255,-13.562747741935558,44.432194046306506,7,5
Volatility Breakout,AUDUSD=X,-0.28918564368485433,-20.723289644885067,-34.68124275664133,42.77839029768467,7,3
Volatility Breakout,USDCAD=X,-0.060777908946915656,-3.895102133310835,-16.88616785946542,41.62072767364939,7,3
Volatility Breakout,NZDUSD=X,0.31311958007140317,19.76170321526385,-14.284777053707398,43.770672546857774,7,5
Volatility Breakout,USDCHF=X,0.16557026630279445,6.511704767756776,-14.8262320059191,42.61300992282249,7,4
Trend Following,EURUSD=X,-0.009241676912736202,-0.33846239323902516,-6.297006830428216,6.119073869900771,7,3
Trend Following,GBPUSD=X,-0.04967181555540107,-1.4635921476911729,-8.975352836022807,6.063947078280044,7,3
Trend Following,USDJPY=X,-0.12982248014290132,-2.9940489988017793,-9.995007370067484,7.221609702315325,7,3
Trend Following,AUDUSD=X,-0.3329293760683788,-8.063299088999177,-12.116865255873703,5.181918412348401,7,2
Trend Following,USDCAD=X,0.11465359408435574,1.7941346552513115,-7.148751772162579,8.04851157662624,7,4
Trend Following,NZDUSD=X,-0.40440804672427627,-9.550111242804993,-14.148636761479016,4.961411245865491,7,2
Trend Following,USDCHF=X,-0.17455349480795732,-3.3344175629343553,-9.317023049863394,6.174200661521499,7,4
Momentum,EURUSD=X,0.33212267356573694,11.756303348104048,-5.801517811503407,28.114663726571116,7,5
Momentum,GBPUSD=X,0.2634204611401659,11.220753674830043,-11.592543442844104,27.618522601984562,7,4
Momentum,USDJPY=X,0.36764227396352545,16.41608768993845,-12.673752798018146,28.500551267916208,7,4
Momentum,AUDUSD=X,-0.19833415358500234,-11.443258545287483,-22.019098202539862,26.295479603087102,7,1
Momentum,USDCAD=X,-0.20864353895814283,-7.302313190666288,-15.12524393562681,26.240352811466373,7,2
Momentum,NZDUSD=X,-0.20276978623245298,-11.807583830542423,-28.0019945233424,27.783902976846747,7,3
Momentum,USDCHF=X,-0.00022089675673821066,-0.8696155939692418,-14.917816772965564,24.531422271223814,7,4
Ensemble,EURUSD=X,0.35610313431070195,10.146092830736109,-8.918764951054769,17.805953693495038,7,5
Ensemble,GBPUSD=X,0.8481955256499839,37.286659299397606,-7.160137126230396,18.853362734288865,7,5
Ensemble,USDJPY=X,0.6533445228964787,24.428973423193522,-8.636640028915869,20.066152149944873,7,6
Ensemble,AUDUSD=X,-0.3471856853660292,-14.764058073183605,-25.901345137621462,16.923925027563396,7,2
Ensemble,USDCAD=X,-0.3516050109471594,-8.833289102879116,-16.499770116440835,14.939360529217199,7,3
Ensemble,NZDUSD=X,-0.24359762972801183,-10.709367167848827,-26.98352110775873,16.703417861080485,7,4
Ensemble,USDCHF=X,-0.09137236284594101,-2.927034655952876,-11.971671168435483,14.277839029768469,7,3
