feature,importance
EUR_ma_50,0.06686588256731495
CHF_price_vs_ma200,0.04770798885480969
CAD_ma_50,0.045750895337369986
CHF_mom_6m_vol_adj,0.042031730601535616
CHF_mom_12m,0.03957189788296008
BRL_mom_6m_vol_adj,0.03257197149768269
BRL_mom_6m,0.03236154218727055
CHF_ma_20,0.02427367692705668
GBP_ma_50,0.02383755883971314
CAD_ma_200,0.020425156790164246
AUD_dxy_beta,0.017487421109088654
AUD_ma_200,0.017196452580406904
CAD_vol_63d,0.01571538049453043
MXN_ma_50,0.013051048892965392
CHF_mom_3m,0.012660872371015031
BRL_mom_x_vix,0.01249260811859474
CAD_vol_126d,0.01093706970358933
BRL_vol_ratio,0.01071307830159065
JPY_ma_200,0.010186689546202514
BRL_ma_200,0.009894652307190529
JPY_carry_rank,0.009749946522479618
CHF_vol_126d,0.009612748920776673
JPY_vol_63d,0.0089457644400224
BRL_vol_21d,0.00885792764380944
CHF_mom_1m,0.00865598317786677
CHF_ma_200,0.008641966944821548
BRL_vol_63d,0.008079985408171135
AUD_vol_63d,0.007604790423122878
MXN_price_vs_ma200,0.007508539124097923
CAD_rsi,0.006556268148875225
CHF_vol_63d,0.006515397628282262
CHF_carry_x_mom,0.005981997943289803
EUR_price_vs_ma200,0.0057992595658070455
AUD_vol_21d,0.00577765170244583
JPY_vol_21d,0.005683653736382033
EUR_mom_12_1,0.005675517498751521
CAD_dxy_beta,0.005506037195292276
CAD_vol_ratio,0.005467438159084763
CAD_carry_x_mom,0.005314852358204454
MXN_downside_vol,0.0052499739514303215
EUR_mom_1m,0.004918536161447915
AUD_carry_x_mom,0.0047575715248922255
CHF_vol_ratio,0.00472262555158797
CHF_mom_3m_vol_adj,0.004610894370071387
JPY_vol_126d,0.0045867366909022825
MXN_carry_x_vol,0.004459159547323168
EUR_ma_200,0.004440247001382797
GBP_mom_6m_vol_adj,0.004388252632103941
GBP_vol_126d,0.0043842424228055735
MXN_vol_ratio,0.004354215250408871
CHF_mom_1m_vol_adj,0.004339698608625253
BRL_vol_of_vol,0.004335654353529859
JPY_price_vs_ma200,0.004289584334011485
GBP_ma_20,0.004268928942383898
CAD_ma_20,0.0042029248184169985
GBP_mom_12m,0.0041911927160720045
CHF_rsi,0.00413939963941635
CHF_carry_zscore,0.004126967151476155
MXN_ma_200,0.0041103450162534435
AUD_ma_20,0.004101934662764993
MXN_vol_126d,0.004094439629989979
MXN_dxy_beta,0.0040296271386411195
CHF_vol_21d,0.003846400317631461
CHF_mom_6m,0.003787477581078969
AUD_carry_rank,0.0037775467968746957
BRL_dxy_beta,0.003734980406008658
GBP_downside_vol,0.0036997914594892726
CHF_ma_50,0.0036363962335711347
JPY_vol_ratio,0.003533170400078216
AUD_vol_of_vol,0.0034799886271362187
AUD_vol_126d,0.003402843593349898
GBP_mom_6m,0.003348657593140865
MXN_vol_63d,0.003291297889880736
MXN_ma_20,0.003202436008417062
CHF_carry_x_vol,0.0031969385264048623
EUR_carry_rank,0.0031660108453152526
JPY_vol_of_vol,0.0031209322916049293
credit_spread,0.0030157193791830184
AUD_mom_12_1,0.0029320312865571342
JPY_dxy_beta,0.002910141656512601
EUR_ma_20,0.002898017118415563
EUR_vol_of_vol,0.0028585997164599646
GBP_carry_x_vol,0.0028184589606465955
CHF_downside_vol,0.002785044823552314
CAD_vol_21d,0.0027669628035188725
GBP_ma_200,0.0027357909184050257
AUD_ma_50,0.0027012138200729857
GBP_mom_12m_vol_adj,0.002685459411827662
AUD_carry_zscore,0.002666256827256648
equity_drawdown,0.002626622088055891
JPY_mom_1m,0.0025806242454080117
EUR_dxy_beta,0.002481648436958001
BRL_vol_126d,0.002440646184778473
GBP_carry_x_mom,0.002339541732619223
AUD_rsi,0.002310104280247283
EUR_vol_ratio,0.002286723656682628
JPY_ma_50,0.0022565436627614657
CAD_rate_diff,0.0022554908104193126
CAD_carry_x_vol,0.002253423699639626
EUR_mom_12m_vol_adj,0.0022046865906232907
JPY_downside_vol,0.0021976226144912892
EUR_vol_126d,0.002156217857192721
vix_zscore,0.0019993283342729347
GBP_price_vs_ma200,0.0019694583810215857
GBP_vol_63d,0.0019579374991461553
JPY_mom_1m_vol_adj,0.0019457635318255125
EUR_downside_vol,0.001935253573714109
MXN_mom_3m_vol_adj,0.0019313181078041467
JPY_ma_20,0.0019256240706588706
BRL_rsi,0.0019247935607359997
AUD_mom_6m,0.0019013975395138821
GBP_mom_1m,0.0018834126428725643
CHF_mom_12_1,0.0018642526224343658
BRL_ma_50,0.0018603331476238028
equity_ret_21d,0.0018505011660968848
BRL_carry_x_mom,0.0018299830069294367
CAD_carry_zscore,0.0018044317428112455
AUD_mom_1m_vol_adj,0.0017874149859922381
AUD_vol_ratio,0.001708588168083341
EUR_rsi,0.0017075471814223316
CHF_vol_of_vol,0.001670311248145491
JPY_mom_12_1,0.0016453147139205175
EUR_carry_x_vol,0.0016204049364478177
EUR_mom_1m_vol_adj,0.0015848456058833492
MXN_vol_21d,0.0015497931275797365
GBP_mom_12_1,0.0015494304210701363
BRL_mom_12m_vol_adj,0.00154786340929681
CAD_mom_3m_vol_adj,0.001543255879152633
JPY_mom_3m,0.00152836325838999
JPY_rsi,0.0015228330927626744
MXN_mom_12_1,0.00151828223321452
CAD_mom_12m_vol_adj,0.00149043310829186
JPY_carry_zscore,0.00148349530272375
BRL_price_vs_ma200,0.0014793896458524364
MXN_vol_of_vol,0.0014793489877674931
CAD_vol_of_vol,0.0014343284109562507
EUR_mom_12m,0.0014177009692654357
CAD_downside_vol,0.001381674879248278
