Pair,Train_Days,Test_Days,Train_Return,Train_Sharpe,Train_MaxDD,Train_WinRate,Train_Trades,Test_Return,Test_Sharpe,Test_MaxDD,Test_WinRate,Test_Trades,BuyHold_Return,Outperformance,Sharpe_Degradation
EUR/USD,2802,1242,3.7850987222989584e+21,16.227631039453925,-5.328507450700625,94.4682369735903,823,-2.3123379698717805,0.11580302353810999,-85.4000818549911,48.55072463768116,600,-19.74106040391329,17.42872243404151,99.28638361825458
GBP/USD,2802,1242,3.715670566644606e+21,17.891781787195804,-8.9969550794316,94.86081370449678,660,-87.34195836491286,-1.1346582221826174,-95.74129187588076,47.987117552334944,499,-18.545825670746087,-68.79613269416677,106.3417843177612
AUD/USD,2801,1242,2.3844532422586547e+27,16.80925286368771,-16.286403361548317,94.14494823277401,607,-14.86330573640371,0.09038482064064174,-95.1600239814216,48.06763285024155,458,-27.834202873476134,12.970897137072424,99.46229120758767
/USDJPY,2802,1242,3.366812871390099e+20,14.666019563670227,-17.273648384183304,93.11206281227695,974,-99.32980349839154,-2.3431103537309643,-99.37591842189498,42.028985507246375,538,64.60180914854084,-163.9316126469324,115.97645722454597
/USDCAD,2801,1242,8.505602231937242e+19,16.797519207528318,-6.335706874043723,94.35915744377009,704,-21.88474814280761,-0.117335408912123,-74.3640746602438,49.75845410628019,578,34.24467048192328,-56.12941862473089,100.69852814211804
NZD/USD,2802,1242,2.8116852259391085e+26,16.50113051717281,-26.04549623483955,92.61241970021413,931,352.91561510816206,0.9935838809501415,-76.15540478407155,51.368760064412236,712,-22.16469926185297,375.08031437001506,93.97869200953241
/USDCHF,2799,1242,2.485356216024592e+23,13.808671036795873,-16.629675596421734,92.60450160771704,700,38.43326650345804,0.3699029762688526,-73.18092057762205,51.77133655394525,566,-22.052426720129247,60.48569322358729,97.32122674937148
