Currency,RF_R2,XGB_R2,Ensemble_R2,Test_Samples
AUD,-0.5026168236953077,-1.58523132149181,-0.987691491225722,142
BRL,-2.10275224423757,-2.767719910463891,-2.3814311444531437,142
CAD,-0.7300926439695075,0.14501296505689898,-0.05172588278357537,142
CHF,-0.033063466932653274,-0.25258489386532323,-0.04832768619360306,142
EUR,0.33334306823745885,0.13977324109706024,0.2774753761490045,142
GBP,-1.3133234379805807,-0.5982280562444151,-0.9064989992982628,142
JPY,-1.2411945234994977,-0.5934824050099479,-0.8740633310169776,142
MXN,-1.5105707040607372,-1.1725524503337104,-1.274382237402214,142
